 Bins    Order     Time    Rows    Missing    Missing %  Scheme        RMSE
    60        3  30.0128  122646        643        0.524  MEDIAN    10.5653
    65        3  29.0972  122646        769        0.627  MEDIAN    10.5697
   115        2  27.7671  122647        209        0.17   LAST      10.5725
   120        3  28.2048  122646       3490        2.846  RAND      10.5727
   180        2  29.0895  122647        328        0.267  MEDIAN    10.5777
   120        2  28.1819  122647        208        0.17   LAST      10.5782
   155        2  28.5163  122647        270        0.22   LAST      10.5822
    70        5  23.0673  122644      19973       16.285  RAND      10.5849
    60        3  26.9224  122646        643        0.524  MEAN      10.585
   150        2  28.8057  122647        256        0.209  MEDIAN    10.5865
   125        2  27.1443  122647        220        0.179  LAST      10.5868
   155        2  29.1176  122647        270        0.22   MEAN      10.5943
   180        2  28.3841  122647        328        0.267  MEAN      10.5944
   165        2  26.3814  122647        302        0.246  MEAN      10.5946
   175        2  27.5474  122647        318        0.259  MEDIAN    10.5952
    75        7  23.1665  122642      66764       54.438  RAND      10.5955
    65        3  26.3406  122646        769        0.627  MEAN      10.5966
    90        2  27.4204  122647        159        0.13   LAST      10.5968
   125        3  25.7086  122646       3915        3.192  RAND      10.5975
   160        2  25.9445  122647        289        0.236  MEAN      10.5986
